toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
1992.01,147340931,FP,10h51m40.05s,162.91688,-44d59m05.07s,-44.984741,0.555,-7.807,2458546.846,4.31224,2.704,4990,12.3576,664.873,1414,10.5287,375.933,,,1.72,2020-06-17 20:08,2021-10-29 12:59
1993.01,453464017,FP,10h09m07.24s,152.28015,-72d47m53.22s,-72.798117,-31.085,25.233,2459352.661,3.9416903,2.537,12840,19.6321,1460.48,1722,10.248,290.78,6190.4,4.15,1.48,2020-06-17 20:08,2021-10-29 12:59
1994.01,445903569,CP,09h48m41.9s,147.174575,-51d45m23.63s,-51.756564,-13.547,-1.741,2460032.219,4.0337201,3.48,2868,11.5159,1910.26,1841,10.2396,515.603,7369,4.27,2.22,2020-06-17 20:08,2025-04-20 12:03
1995.01,299023386,PC,09h33m51.93s,143.466387,-53d33m41.91s,-53.561643,-8.811,1.488,2459327.828,3.1056464,1.772,800,13.2277,949.504,1546,9.8153,873.401,7804.8,3.78,4.44,2020-06-17 20:08,2023-01-25 10:10
1996.01,275384718,FP,11h54m11.32s,178.547176,-46d53m48.79s,-46.896887,-27.631,10.574,2458576.434,7.72433,8.03,7120,20.0285,1173.53,1630,10.2372,422.884,6249.4,4.19,2.32,2020-06-17 20:08,2021-10-29 12:59
1997.01,142378043,PC,12h06m31.8s,181.632505,-31d38m44.57s,-31.645713,8.129,-8.411,2460038.147,1.8359766,1.062,1073,5.11603,573.168,1363,9.8916,254.439,6311.5,4.17,1.61,2020-06-17 20:08,2023-05-11 16:02
1998.01,429295277,FP,12h17m02.21s,184.259218,-51d04m30.55s,-51.075153,18.224,-25.907,2458572.208,1.10833,2.288,1060,4.58274,4415.23,2270,10.186,218.438,5972,4.08,1.4,2020-06-17 20:08,2021-10-29 12:59
1999.01,447206604,APC,10h27m58.83s,156.995108,-48d25m42.77s,-48.428547,11.3,6.1,2460033.286,7.2133579,2.345,8814,21.2234,271.595,,10.4109,183.691,5843,4.33,1.16,2020-06-17 20:08,2023-05-05 16:02
200.01,410214986,CP,23h39m39.71s,354.915467,-69d11m45.75s,-69.196043,79.464,-67.44,2458332.308,8.1382222,3.2797025,3852.029987,6.1757682,115.8275563,836.7056912,7.8541,44.0622,5414,4.438,0.951985,2018-11-09 21:01,2024-09-05 10:08
2000.01,371188886,CP,09h45m35.3s,146.397063,-66d41m11.87s,-66.686631,-73.323,12.578,2460086.661,9.1270519,3.549,4568,8.34235,147.466,970,10.3579,175.713,5400,4.43,1.18,2020-06-17 20:08,2025-09-24 16:00
